codigo_cie;codigo_inep;nome_escola;nome_municipio;DS_LATITUDE;DS_LONGITUDE;IDESP_AI_18;IDESP_AF_18;IDESP_EM_18;saresp3EF_Mat;saresp3EF_LP;saresp5EF_Mat;saresp5EF_LP;saresp9EF_Mat;saresp9EF_LP;saresp3EM_Mat;saresp3EM_LP;NO_CATEGORIA;NO_DEPENDENCIA;MEDIA_ALUNOS_TURMA_AI;MEDIA_ALUNOS_TURMA_AF;MEDIA_ALUNOS_TURMA_EM;INSE;COMPLEXIDADE_ESCOLAR;REGULARIDADE_DOCENTE;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AI_CAT_6;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;FUN_AF_CAT_6;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5;MED_CAT_6;NUM_Diretores_2014a2019;Sexo_Diretor;Faixa_Etaria_Diretor;TX_RESP_Q004;TX_RESP_Q006;TX_RESP_Q008;TX_RESP_Q010;TX_RESP_Q014;TX_RESP_Q015;TX_RESP_Q016;TX_RESP_Q017;TX_RESP_Q018;TX_RESP_Q019;TX_RESP_Q026;TX_RESP_Q027;TX_RESP_Q028;TX_RESP_Q032;TX_RESP_Q037;TX_RESP_Q038;TX_RESP_Q039;TX_RESP_Q040;TX_RESP_Q041;TX_RESP_Q042;TX_RESP_Q043;TX_RESP_Q044;TX_RESP_Q045;TX_RESP_Q046;TX_RESP_Q047;TX_RESP_Q048;TX_RESP_Q049;TX_RESP_Q050;TX_RESP_Q051;TX_RESP_Q052;TX_RESP_Q053;TX_RESP_Q054;TX_RESP_Q055;TX_RESP_Q077;TX_RESP_Q078;TX_RESP_Q079;TX_RESP_Q080;TX_RESP_Q086;TEM_GREMIO;PEI;ETI;TX_RESP_Q067;TX_RESP_Q068;TX_RESP_Q069;TX_RESP_Q070;TX_RESP_Q071;TX_RESP_Q072;TX_RESP_Q073;TX_RESP_Q074;TX_RESP_Q075;TX_RESP_Q076;TX_RESP_Q081;TX_RESP_Q082;TX_RESP_Q083;TX_RESP_Q084;TX_RESP_Q085;TX_RESP_Q090;TX_RESP_Q091;TX_RESP_Q092;TX_RESP_Q093;TX_RESP_Q094;TX_RESP_Q095;TX_RESP_Q096;TX_RESP_Q097;TX_RESP_Q098;TX_RESP_Q099;TX_RESP_Q100;TX_RESP_Q101;TX_RESP_Q102;TX_RESP_Q103;TX_RESP_Q104;TX_RESP_Q105;TX_RESP_Q106;TX_RESP_Q107;TX_RESP_Q108
12;35000012;AYRES DE MOURA PROFESSOR;SAO PAULO;-23,5122;-46,7491;NULL;4,23;NULL;NULL;NULL;NULL;NULL;272,3;263,1;NULL;NULL;Urbana;Estadual;NULL;34,9;NULL;2,71;Nível 2;3,7;0;0;0;0;0;0;0;27;61,5;7,7;0;3,8;0;0;0;0;0;0;2;Masculino;De50a54;I;B;D;J;D;G;E;C;G;B;B;E;E;F;E;D;A;F;D;D;B;D;D;D;D;D;B;D;C;C;C;B;C;B;A;A;A;B;Sim;Sim;Não;B;A;B;A;A;A;A;A;A;A;A;A;B;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A
24;35000024;GAVIAO PEIXOTO BRIGADEIRO;SAO PAULO;-23,4047;-46,7594;5,04;2,42;1,95;181,5;170,4;219,4;207,9;237,1;226,9;263,7;263,8;Urbana;Estadual;24,5;27,2;25,9;3,93;Nível 6;3,3;23,4;16,7;3,3;43,3;13,3;0;2,2;4,4;6,7;37,8;35,6;13,3;3;0;10,8;44,6;30,8;10,8;72;Feminino;De40a49;H;D;D;I;F;G;A;A;G;B;A;A;C;B;C;A;E;B;E;E;B;B;B;C;C;C;A;A;A;A;A;C;A;A;A;A;A;A;Sim;Não;Não;A;C;B;B;B;A;D;C;A;D;A;A;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
36;35000036;JOAO SOLIMEO;SAO PAULO;-23,48128;-46,70082;NULL;2,99;1,9;NULL;NULL;NULL;NULL;245,8;243,1;258,9;268,4;Urbana;Estadual;NULL;34,5;33,8;4,02;Nível 4;3,2;0;0;0;0;0;0;0;9,1;30,9;43,6;7,3;9,1;0;2;12;58;16;12;24;Masculino;55mais;D;B;D;I;G;G;B;B;G;B;B;E;C;H;E;D;E;B;D;D;B;C;C;D;C;D;B;B;C;C;B;B;A;A;A;A;A;B;Sim;Não;Não;D;D;D;D;C;A;D;B;B;C;A;B;B;B;A;A;A;B;B;A;B;A;A;A;B;A;A;A;A;A;A;A;A;A
61;35000061;SUZANA DE CAMPOS DONA;SAO PAULO;-23,40683;-46,75507;5,18;NULL;NULL;212,7;187;220,9;212,2;NULL;NULL;NULL;NULL;Urbana;Estadual;29,3;NULL;NULL;4,55;Nível 2;3,1;4,9;56,1;14,6;22;2,4;0;0;0;0;0;0;0;0;0;0;0;0;0;12;Feminino;55mais;H;B;C;G;F;H;E;E;G;B;A;C;C;H;C;D;C;B;D;D;B;D;C;C;C;C;A;B;B;C;D;B;B;B;A;A;A;B;Sim;Não;Não;B;C;B;A;A;A;B;B;B;A;A;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;A;A;B;A;B;A;B;A
85;35000085;JULIO CESAR DE OLIVEIRA PROFESSOR;SAO PAULO;-23,4814;-46,7459;6,06;NULL;NULL;239,5;203;234,2;222,9;NULL;NULL;NULL;NULL;Urbana;Estadual;28,4;NULL;NULL;3,86;Nível 2;3,2;7,7;50;19,2;23,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;Feminino;55mais;H;B;A;I;A;F;E;E;G;B;B;E;D;H;C;A;A;I;D;D;B;C;C;C;C;C;C;B;B;C;B;A;A;A;A;A;A;B;Não;Não;Não;D;D;D;C;C;A;D;B;B;C;A;;B;B;A;A;A;B;B;B;B;B;B;B;B;A;A;A;;A;B;B;B;A
103;35000103;JOAO BOEMER JARDIM PROFESSOR;SAO PAULO;-23,4612;-46,6736;4,84;NULL;NULL;234,9;200,6;213,3;206,1;NULL;NULL;NULL;NULL;Urbana;Estadual;30,7;NULL;NULL;5,09;Nível 2;3,3;0;50;17,4;28,3;4,3;0;0;0;0;0;0;0;0;0;0;0;0;0;8;Feminino;De50a54;D;B;A;H;G;H;C;C;G;A;B;E;D;H;E;C;A;H;D;D;B;C;D;C;C;C;C;A;A;B;B;C;C;B;B;A;A;B;Sim;Não;Não;A;C;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
115;35000115;FRANCISCO FARIA NETO PROFESSOR;SAO PAULO;-23,4507;-46,7162;4,96;NULL;NULL;192,1;172,3;211,5;211;NULL;NULL;NULL;NULL;Urbana;Estadual;29,9;NULL;NULL;4,81;Nível 2;3,2;5,9;52,9;11,8;29,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;Feminino;De40a49;;B;A;H;D;F;A;A;F;B;B;E;E;H;C;C;E;B;D;D;A;C;C;C;C;C;B;B;C;C;C;A;A;B;A;A;B;B;Não;Não;Não;B;A;A;A;A;A;A;B;A;A;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;B;A;B;A
127;35000127;JOSE ALTENFELDER SILVA PROFESSOR;SAO PAULO;-23,51357;-46,75197;5,78;NULL;NULL;212,4;193,4;231,1;217,8;NULL;NULL;NULL;NULL;Urbana;Estadual;31;NULL;NULL;3,04;Nível 2;3,2;0;64,5;3,2;25,8;6,5;0;0;0;0;0;0;0;0;0;0;0;0;0;8;Feminino;De40a49;;B;C;J;A;F;D;C;G;B;B;E;C;H;C;D;A;H;B;D;B;C;C;C;C;C;B;A;A;B;B;A;B;B;A;A;A;B;Não;Não;Não;C;C;B;C;A;A;A;A;A;A;A;B;B;B;A;A;A;B;B;B;B;B;B;A;B;A;A;B;B;A;A;B;B;A
139;35000139;MARIANO DE OLIVEIRA PROFESSOR;SAO PAULO;-23,49103;-46,71563;NULL;3,48;2,68;NULL;NULL;NULL;NULL;253,6;259,3;279,1;290,5;Urbana;Estadual;NULL;34,9;33,2;2,87;Nível 6;3,3;0;0;0;0;0;0;0;0;0;47,4;26,3;26,3;0;6,5;13;45,7;15,2;19,6;8;Feminino;De50a54;I;E;C;J;A;F;F;F;G;B;B;;E;H;E;C;A;H;D;D;A;C;C;C;C;C;A;C;C;C;C;C;A;A;A;A;A;B;Sim;Não;Não;B;B;A;A;A;A;B;B;A;A;A;B;B;B;A;A;A;B;A;B;B;B;A;B;B;A;A;A;A;A;A;A;B;A
188;35000188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;SAO PAULO;-23,50484;-46,75821;NULL;3,57;2,41;NULL;NULL;NULL;NULL;255,3;257,2;276,6;280,2;Urbana;Estadual;NULL;36,1;36,9;2,56;Nível 4;3,3;0;0;0;0;0;0;0;10,5;17,2;44,8;24,1;3,4;0;0;9,6;58,1;19,4;12,9;8;Feminino;De50a54;H;B;C;I;D;F;D;D;G;B;B;E;C;F;C;A;A;B;C;D;B;D;D;D;D;D;B;B;B;B;B;A;B;A;B;A;A;B;Sim;Não;Não;B;A;B;B;B;B;C;A;B;B;A;A;B;B;A;A;A;B;B;B;B;A;A;B;B;A;A;A;B;A;B;B;B;A
206;35000206;ALIPIO DE BARROS PROFESSOR;SAO PAULO;-23,4796;-46,7188;6,1;NULL;NULL;204,4;186,2;234,3;226,9;NULL;NULL;NULL;NULL;Urbana;Estadual;28,3;NULL;NULL;3,7;Nível 2;3,6;6,2;46,9;15,6;25;0;6,3;0;0;0;0;0;0;0;0;0;0;0;0;12;Feminino;De40a49;H;B;C;I;A;F;B;B;G;A;B;E;B;F;C;B;D;H;C;B;B;D;D;D;D;D;A;D;D;D;B;A;B;B;A;A;A;B;Não;Não;Não;A;A;A;A;A;A;A;A;A;A;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;A;B;A;B;A;B;B;B;A
224;35000224;CANDIDO GONCALVES GOMIDE PROFESSOR;SAO PAULO;-23,48433;-46,72731;NULL;3,26;1,49;NULL;NULL;NULL;NULL;255,9;257,3;260,6;265,9;Urbana;Estadual;NULL;30,7;29,1;3,01;Nível 6;2,9;0;0;0;0;0;0;0;11,6;15,4;53,8;3,8;15,4;0;5,8;11,8;51;15,7;15,7;16;Feminino;De50a54;D;D;C;J;A;G;E;D;G;B;A;A;D;H;E;B;D;B;C;C;A;D;D;C;C;C;A;B;B;B;B;A;A;B;A;A;A;B;Sim;Não;Não;C;A;A;B;A;A;D;C;B;B;A;A;B;B;A;A;A;B;B;B;B;A;A;B;B;A;A;A;A;A;B;B;B;A
231;35000231;CHIQUINHA RODRIGUES;SAO PAULO;-23,47125;-46,68355;5,23;NULL;NULL;218,8;184,8;222,5;211,5;NULL;NULL;NULL;NULL;Urbana;Estadual;28,1;NULL;NULL;5,03;Nível 2;3,6;11,7;44,2;11,6;20,9;11,6;0;0;0;0;0;0;0;0;0;0;0;0;0;12;Feminino;55mais;D;B;D;I;A;E;F;E;G;B;B;D;D;H;C;B;A;H;B;D;A;D;D;D;D;D;B;C;C;B;D;B;A;B;A;A;A;B;Não;Não;Não;A;A;D;A;B;A;A;A;A;A;A;B;B;B;A;B;A;B;B;B;B;B;B;B;B;A;B;B;B;A;B;B;B;A
243;35000243;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;SAO PAULO;-23,45517;-46,74622;5,01;NULL;NULL;198,3;188,1;219,6;206,4;NULL;NULL;NULL;NULL;Urbana;Estadual;28,8;NULL;NULL;3,78;Nível 2;3,2;13,6;36,4;9,1;31,8;9,1;0;0;0;0;0;0;0;0;0;0;0;0;0;20;Feminino;De50a54;E;B;B;I;G;G;E;C;G;B;B;C;C;F;C;B;E;B;D;D;B;C;C;D;D;D;B;B;C;B;B;C;A;B;B;A;A;B;Não;Não;Não;B;A;B;A;B;A;A;B;A;B;A;A;B;B;A;B;A;B;B;B;B;B;B;B;B;A;B;A;A;A;B;A;A;A
255;35000255;CLODOMIRO CARNEIRO;SAO PAULO;-23,4716;-46,703;NULL;2,44;1,67;NULL;NULL;NULL;NULL;232,9;231,4;258,5;271,5;Urbana;Estadual;NULL;18,7;24,4;4,15;Nível 5;3,4;0;0;0;0;0;0;0;4,8;4,8;38,1;33,3;19;0;2,8;21,6;29,7;24,3;21,6;16;Feminino;De50a54;H;B;C;I;G;E;C;C;F;B;A;A;D;F;E;B;F;A;C;C;B;D;C;C;C;C;B;C;C;C;C;C;C;B;A;A;A;B;Sim;Não;Não;B;A;A;A;B;A;B;A;B;B;A;A;B;;A;B;B;B;B;B;B;A;A;B;B;B;A;B;B;A;A;B;B;B
