ID_ESCOLA;CO_PROFESSOR;ID_SERIE;TX_RESP_Q053;TX_RESP_Q054;TX_RESP_Q055;TX_RESP_Q056;TX_RESP_Q057;TX_RESP_Q058;TX_RESP_Q059;TX_RESP_Q060;TX_RESP_Q061;TX_RESP_Q062;TX_RESP_Q063;TX_RESP_Q064;TX_RESP_Q065;TX_RESP_Q066;TX_RESP_Q067;TX_RESP_Q068;TX_RESP_Q069
35020229;2017190485;9;B;D;D;E;C;B;C;B;B;C;C;B;B;D;D;B;B
35020229;2017318540;9;B;D;D;E;C;B;C;B;B;C;C;B;B;D;D;B;B
35020229;2017354252;9;B;C;E;E;B;B;C;B;B;C;C;B;B;C;C;C;C
35020229;2017354253;9;C;D;E;E;C;B;C;B;C;C;C;C;C;D;C;C;B
35020229;2017254494;9;C;D;E;E;C;B;C;B;C;C;C;C;C;D;C;C;B
35020229;2017140841;9;C;D;E;E;C;B;C;B;C;C;C;C;C;D;C;C;B
35020229;2017446426;9;B;C;E;E;B;B;C;B;B;C;C;B;B;C;C;C;C
35020229;2017140840;9;B;C;E;E;B;B;C;B;B;C;C;B;B;C;C;C;C
35020229;2017190486;9;B;C;E;E;B;B;C;B;B;C;C;B;B;C;C;C;C
35020229;2017197545;9;B;C;E;E;B;B;C;B;B;C;C;B;B;C;C;C;C
35020229;2017197547;9;B;C;E;E;B;B;C;B;B;C;C;B;B;C;C;C;C
35020229;2017382706;9;C;D;E;E;C;C;C;B;C;D;D;B;C;D;D;D;D
35020229;2017197544;9;C;D;E;E;C;C;C;B;C;D;D;B;C;D;D;D;D
35020229;2017197546;9;C;D;E;E;C;C;C;B;C;D;D;B;C;D;D;D;D
35020229;2017318539;9;C;B;C;C;C;D;D;D;D;D;D;D;D;D;D;D;D
35020229;2017382705;9;C;D;E;E;C;B;D;B;C;D;C;B;B;C;C;D;C
35020229;2017254493;9;C;D;E;E;C;B;D;B;C;D;C;B;B;C;C;D;C
35030892;2017297249;9;D;E;E;E;E;C;C;C;C;C;C;C;C;C;C;C;C
35030892;2017375902;9;D;E;E;E;E;C;C;C;C;C;C;C;C;C;C;C;C
35030892;2017297250;9;C;B;D;D;B;C;C;C;C;D;D;D;C;D;D;C;C
35030892;2017304423;9;A;D;A;A;A;C;D;C;D;D;C;D;D;D;D;D;D
35007559;2017368480;5;C;E;E;E;E;B;D;B;B;A;B;A;A;B;B;B;D
35007559;2017424854;5;C;E;E;E;E;B;C;C;B;B;B;B;A;B;B;B;C
35007559;2017368480;5;C;C;E;C;E;B;D;B;B;A;B;A;A;B;B;B;D
35007559;2017048311;5;E;E;E;E;D;C;C;C;C;C;C;C;C;C;C;C;D
35007559;2017346976;5;E;D;E;E;D;B;C;A;B;B;C;B;B;B;B;D;C
